condition,n,delta_min_s,delta_median_s,delta_max_s,objects_with_returns,returns,post_ratio_median,post_ratio_max,final_anchor_count,final_body_count,max_first_count_gap
r2_s0,11,0.000628210879995,0.0196097497635037,18.47135681025088,8,43,0.0029177310592519,0.9868914326475804,11,11,2
r2_s1,11,0.0002979346893425,0.027407396874878,0.0660193533497022,9,23,0.0043508674340871,0.0720621640952277,11,11,1
r2_s2,11,0.0006353698320253,0.055021223707854,28.10633737555077,10,77,0.0105104599426657,0.6377597923791198,11,11,4
r3_s0,11,0.0001606982675639,0.0855749369582099,4.653837504826697,9,66,0.0546205258135053,0.9527254181948752,11,11,2
r3_s1,11,0.0002178297743284,0.0940586503111262,6.120538702401063,9,99,0.0837759788704866,0.7998348057645174,11,11,3
r3_s2,11,3.210123099961493e-05,0.0032595734664937,4.416152062766514,8,54,0.0703879838574793,0.9293573931324832,11,11,2
r4_s0,11,0.0006944740052858,0.0042466548038646,5.220286104886782,9,47,0.0173142888932263,0.7327773707447715,11,11,3
r4_s1,11,0.0015714302526248,0.0248497993059118,7.063065809160207,10,65,0.0486001123861162,0.8000133371051156,11,11,4
r4_s2,11,0.0017853900080808,0.0058636652495351,3.78160831790774,8,46,0.1056204847101801,0.8480324467490816,11,11,2
