time_s,rep_event,assembly_event,rep_unpacked_products,rep_packaged_products,converted_packaged_products,unpacked_genome_after,packaged_genome_after,TX_L1_4,TL_L1_4,TX_L1_1,TL_L1_1,TX_L1_2,TL_L1_2,TX_L1_3,TL_L1_3,tx_total,tl_total
622,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
629,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
642,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
656,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
657,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
658,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
688,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
701,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
703,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
712,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
713,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
718,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
733,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
745,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
746,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
762,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
772,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
777,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
780,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,1
790,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
791,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
808,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
810,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
814,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
823,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
845,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
848,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
854,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
861,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
874,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
882,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2
894,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
903,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
912,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
923,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
941,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
949,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
976,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
989,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
997,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
1029,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
1040,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1052,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
