time_s,source_key,value
214,TL_MpP1p05,1
215,TL_MpP1p02,1
215,TL_MpP1p07,1
216,TL_MpP1p02,1
217,TL_MpP1p11,1
218,TL_MpP1p04,1
218,TL_MpP1p11,2
219,TL_MpP1p04,1
219,TL_MpP1p11,1
220,TL_MpP1p05,1
221,TL_MpP1p02,1
221,TL_MpP1p11,1
222,TL_MpP1p05,1
222,TX_MpP1p07,1
222,TL_MpP1p07,1
223,TL_MpP1p06,1
223,TL_MpP1p11,1
224,TL_MpP1p05,2
225,TL_MpP1p05,2
225,TL_MpP1p06,1
225,TL_MpP1p07,1
226,TL_MpP1p04,2
226,TL_MpP1p10,1
227,TL_MpP1p10,1
228,TL_MpP1p02,2
228,TL_MpP1p07,1
228,TL_MpP1p08,1
230,TL_MpP1p05,1
231,TL_MpP1p05,1
232,TL_MpP1p04,1
232,TL_MpP1p07,1
232,TL_MpP1p09,2
232,TL_MpP1p11,1
233,TX_MpP1p02,1
233,TL_MpP1p10,1
233,TL_MpP1p11,1
234,TL_MpP1p02,1
234,TL_MpP1p09,1
234,TL_MpP1p10,1
234,TL_MpP1p11,1
235,TX_MpP1p05,1
235,TL_MpP1p11,1
236,TL_MpP1p04,1
236,TL_MpP1p11,1
237,TL_MpP1p04,1
238,TL_MpP1p07,1
238,TL_MpP1p11,1
239,TL_MpP1p04,1
239,TL_MpP1p05,2
241,TL_MpP1p08,1
241,TL_MpP1p09,1
241,TL_MpP1p11,1
242,TL_MpP1p02,1
242,TL_MpP1p05,1
243,TL_MpP1p02,1
243,TL_MpP1p04,1
243,TL_MpP1p05,1
243,TL_MpP1p06,1
243,TL_MpP1p07,1
243,TL_MpP1p09,1
244,TL_MpP1p05,1
244,TL_MpP1p10,1
244,TL_MpP1p11,1
245,TX_MpP1p02,1
245,TL_MpP1p06,1
245,TL_MpP1p11,1
246,TL_MpP1p11,1
247,TL_MpP1p02,1
247,TL_MpP1p05,1
247,TX_MpP1p09,1
247,TL_MpP1p11,1
248,TL_MpP1p08,1
248,TL_MpP1p11,1
249,TL_MpP1p02,1
249,TL_MpP1p03,1
249,TL_MpP1p05,1
250,TL_MpP1p02,1
250,TX_MpP1p04,1
250,TL_MpP1p07,1
252,TL_MpP1p02,1
252,TL_MpP1p03,1
252,TL_MpP1p04,1
253,TL_MpP1p04,1
253,TL_MpP1p09,1
253,TL_MpP1p11,1
254,TX_MpP1p08,1
255,TL_MpP1p02,2
255,TL_MpP1p05,1
255,TL_MpP1p06,1
256,TL_MpP1p03,1
256,TL_MpP1p09,1
256,TX_MpP1p11,1
257,TL_MpP1p04,1
257,TL_MpP1p05,1
257,TL_MpP1p07,1
258,TX_MpP1p03,1
258,TL_MpP1p04,1
258,TL_MpP1p05,1
259,TL_MpP1p03,1
260,TL_MpP1p04,1
260,TL_MpP1p05,3
260,TL_MpP1p06,1
260,TL_MpP1p07,1
261,TL_MpP1p04,1
261,TL_MpP1p05,1
261,TL_MpP1p08,1
262,TL_MpP1p03,1
262,TL_MpP1p11,1
263,TL_MpP1p04,1
264,TL_MpP1p02,1
265,TL_MpP1p02,2
265,TL_MpP1p05,1
265,TL_MpP1p06,1
266,TL_MpP1p04,1
266,TL_MpP1p09,1
267,TL_MpP1p05,1
267,TL_MpP1p11,1
268,TX_MpP1p05,1
268,TL_MpP1p05,1
269,TL_MpP1p04,1
269,TL_MpP1p05,1
269,TL_MpP1p08,1
270,TL_MpP1p03,1
270,TL_MpP1p04,1
270,TL_MpP1p05,1
270,TL_MpP1p08,1
271,TX_MpP1p04,1
271,TL_MpP1p06,1
271,TL_MpP1p11,1
272,TL_MpP1p04,1
272,TL_MpP1p07,1
272,TL_MpP1p11,1
273,TL_MpP1p02,1
273,TL_MpP1p06,1
273,TL_MpP1p11,1
274,TL_MpP1p04,1
274,TL_MpP1p05,1
274,TL_MpP1p11,1
275,TL_MpP1p02,2
