upstream_run_id,spatial_condition,object_id,anchor_definition,scheduled_time,accepted_birth_time,opening_time,event_resolution,first_anchor_outside_time,whole_body_exit_time,delta_s,post_open_s,delta_over_post_open,anchor_return_count,observation_end,censor_status
r12ce_g1_2500s,r3_s0,1,head/assembly anchor c; occupied zero-offset site,1238,1238,1301,exact CTMC event; checkpoint-identical replay,1304.9648629424728,1307.1603951231812,2.195532180708369,6.160395123181161,0.3563947014448353,1,1480,observed
r12ce_g1_2500s,r3_s0,2,head/assembly anchor c; occupied zero-offset site,1239,1239,1301,exact CTMC event; checkpoint-identical replay,1301.1630265504825,1301.1634740404475,0.0004474899649267172,0.16347404044745417,0.0027373763057539093,0,1480,observed
r12ce_g1_2500s,r3_s0,3,head/assembly anchor c; occupied zero-offset site,1294,1294,1301,exact CTMC event; checkpoint-identical replay,1301.0175130671055,1301.0319470346794,0.014433967573950213,0.03194703467943327,0.4518093062090189,6,1480,observed
r12ce_g1_2500s,r3_s0,4,head/assembly anchor c; occupied zero-offset site,1301,1301,1301,exact CTMC event; checkpoint-identical replay,1308.4879328663642,1308.9205579038064,0.4326250374422216,7.920557903806412,0.05462052581350531,6,1480,observed
r12ce_g1_2500s,r3_s0,5,head/assembly anchor c; occupied zero-offset site,1303,1303,1301,exact CTMC event; checkpoint-identical replay,1312.8282913586536,1312.8295305196043,0.0012391609507176327,9.829530519604305,0.00012606512063279254,1,1480,observed
r12ce_g1_2500s,r3_s0,6,head/assembly anchor c; occupied zero-offset site,1304,1304,1301,exact CTMC event; checkpoint-identical replay,1307.0819564114856,1311.120036634668,4.038080223182305,7.12003663466794,0.5671431806292427,4,1480,observed
r12ce_g1_2500s,r3_s0,7,head/assembly anchor c; occupied zero-offset site,1307,1307,1301,exact CTMC event; checkpoint-identical replay,1311.1317449866604,1311.2173199236186,0.08557493695820995,4.217319923618561,0.020291307870422267,14,1480,observed
r12ce_g1_2500s,r3_s0,8,head/assembly anchor c; occupied zero-offset site,1312,1312,1301,exact CTMC event; checkpoint-identical replay,1315.5577475227726,1316.8236813603628,1.2659338375901825,4.823681360362798,0.26244143072812115,3,1480,observed
r12ce_g1_2500s,r3_s0,9,head/assembly anchor c; occupied zero-offset site,1320,1320,1301,exact CTMC event; checkpoint-identical replay,1320.230925109825,1324.8847626146517,4.653837504826697,4.884762614651663,0.9527254181948751,29,1480,observed
r12ce_g1_2500s,r3_s0,10,head/assembly anchor c; occupied zero-offset site,1322,1322,1301,exact CTMC event; checkpoint-identical replay,1325.2393811254751,1325.2776117178498,0.03823059237470261,3.2776117178498225,0.011664161488836337,2,1480,observed
r12ce_g1_2500s,r3_s0,11,head/assembly anchor c; occupied zero-offset site,1323,1323,1301,exact CTMC event; checkpoint-identical replay,1323.0343621882778,1323.0345228865453,0.00016069826756393013,0.03452288654534641,0.004654832884638721,0,1480,observed
r12ce_g1_2500s,r3_s1,1,head/assembly anchor c; occupied zero-offset site,1238,1238,1301,exact CTMC event; checkpoint-identical replay,1305.0929604445869,1305.093212468795,0.0002520242080663593,4.093212468794945,6.157124996263778e-05,0,1480,observed
r12ce_g1_2500s,r3_s1,2,head/assembly anchor c; occupied zero-offset site,1239,1239,1301,exact CTMC event; checkpoint-identical replay,1305.2767183529427,1305.3879848599831,0.1112665070404546,4.387984859983135,0.02535708544830354,10,1480,observed
r12ce_g1_2500s,r3_s1,3,head/assembly anchor c; occupied zero-offset site,1294,1294,1301,exact CTMC event; checkpoint-identical replay,1302.5317148108113,1308.6522535132124,6.120538702401063,7.652253513212372,0.7998348057645174,9,1480,observed
